0
EURUSD
GBPUSD
USDJPY
FED_FUNDS
ECB_RATE
BOE_RATE
US_10Y
US_2Y
BUND
GILT_SPOT
BTP_M
JGB_M
US_EU_2Y
UK_EU_2Y
BTP_BUND
SPX
STOXX
FTSE
N225
VIX
EVZ
MOVE
TED_SOFR
GOLD
WTI
